date,Close,High,Low,Open,Volume,mean_sentiment,total_posts
2021-01-04,4.3125,4.775000095367432,4.287499904632568,4.75,40090000,0.0628328947368421,76
2021-01-05,4.34250020980835,4.519999980926514,4.307499885559082,4.337500095367432,19846000,0.1242833333333333,60
2021-01-06,4.590000152587891,4.744999885559082,4.332499980926514,4.335000038146973,24224800,0.1245530612244897,49
2021-01-07,4.519999980926514,4.862500190734863,4.505000114440918,4.617499828338623,24517200,0.0338935483870967,31
2021-01-08,4.422500133514404,4.574999809265137,4.269999980926514,4.545000076293945,25928000,0.1228545454545454,55
2021-01-11,4.985000133514404,5.162499904632568,4.752500057220459,4.852499961853027,59632000,0.0763613207547169,106
2021-01-12,4.987500190734863,5.099999904632568,4.829999923706055,4.989999771118164,28242800,0.070948,50
2021-01-13,7.849999904632568,9.662500381469728,5.007500171661377,5.105000019073486,578006800,0.0947478664192949,539
2021-01-14,9.977499961853027,10.765000343322754,8.262499809265137,9.522500038146973,374869600,0.0896277777777777,630
2021-01-15,8.875,10.1875,8.5024995803833,9.6225004196167,187465600,0.0566524709302325,688
2021-01-19,9.84000015258789,11.380000114440918,9.15999984741211,10.387499809265137,298887600,0.0654519262981574,597
2021-01-20,9.779999732971191,10.297499656677246,9.015000343322754,9.342499732971191,133887200,0.0781935205183585,463
2021-01-21,10.75749969482422,11.1875,9.25,9.807499885559082,224867600,0.0367054003724394,537
2021-01-22,16.252500534057617,19.190000534057617,10.579999923706056,10.647500038146973,788631600,0.0770125090383224,1383
2021-01-25,19.19750022888184,39.79499816894531,15.282500267028809,24.1825008392334,711496000,0.0466234148069429,2823
2021-01-26,36.994998931884766,37.5,20.049999237060547,22.13999938964844,714352000,0.0506937169312169,1512
2021-01-27,86.87750244140625,95.0,62.25,88.7074966430664,373586800,0.0598395068275222,7543
2021-01-28,48.400001525878906,120.75,28.0625,66.25,235263200,0.0054225411490335,22297
2021-01-29,81.25,103.49500274658205,62.5,94.92749786376952,202264400,0.0548135467035075,13029
2021-02-01,56.25,80.5,53.0,79.13999938964844,149528800,0.0473153731759457,10759
2021-02-02,22.5,39.5,18.55500030517578,35.189998626708984,312732400,0.0169014975761772,11552
2021-02-03,23.102500915527344,28.350000381469727,21.3125,28.002500534057617,170794000,0.0750345958053349,4911
2021-02-04,13.375,22.875,13.332500457763672,22.79750061035156,249709200,0.0460111957950065,3805
2021-02-08,15.0,18.165000915527344,14.505000114440918,18.102500915527344,102749200,0.0675833082706767,665
2021-02-09,12.577500343322754,14.25,11.630000114440918,14.15250015258789,107372400,0.0671932090545938,751
2021-02-10,12.800000190734863,15.707500457763672,11.637499809265137,12.692500114440918,145820000,0.0752964131994261,697
2021-02-11,12.774999618530272,13.829999923706056,12.05500030517578,12.5024995803833,52226800,0.0562797858099062,747
2021-02-12,13.100000381469728,13.8100004196167,12.012499809265137,12.6875,58293200,0.0489378378378378,555
2021-02-16,12.3774995803833,13.375,12.260000228881836,13.164999961853027,32700000,-0.0196779999999999,100
